[2026-03-26 21:41:17] [INFO    ] discord.client: logging in using static token
[2026-03-26 21:41:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'youtube_tutorial', 'primary_guild': None, 'mfa_enabled': False, 'id': '1486590681706270761', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0816', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '0f283d332025782cee18a744ec0ee061', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1486592808885293077'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'singapore', 'jakarta', 'japan', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1486590681706270761', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-93d9",{"micros":261194,"calls":["id_created",{"micros":1723,"calls":[]},"session_lookup_time",{"micros":14595,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"sessions-prd-gcp-us-east1-d-252",{"micros":243669,"calls":["start_session",{"micros":171966,"calls":["discord-api-rpc-75dbb96f65-cs82f",{"micros":43324,"calls":["get_user",{"micros":5759},"get_guilds",{"micros":10655},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":183},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1315},"apex_experiments",{"micros":79498},"sessions_experiments",{"micros":8},"played_application_ids",{"micros":13},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":80,"calls":[]},"presence_started",{"micros":338,"calls":[]},"guilds_started",{"micros":63,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":71189,"calls":[]},"connect_finished",{"micros":71204,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-26 21:41:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-26 21:41:19] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0f283d332025782cee18a744ec0ee061).
[2026-03-26 21:41:19] [DEBUG   ] discord.client: Dispatching event connect
[2026-03-26 21:41:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_progress_bar_enabled_user_updated_at': None, 'voice_states': [], 'max_video_channel_users': 25, 'home_header': None, 'profile': None, 'public_updates_channel_id': None, 'default_message_notifications': 0, 'splash': None, 'verification_level': 0, 'system_channel_id': '1486592809543925823', 'channels': [{'version': 1774501745356, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1486592809543925821', 'flags': 0}, {'version': 1774501745358, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1486592809543925822', 'flags': 0}, {'version': 1774501745365, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1486592809543925821', 'name': 'general', 'last_message_id': '1486702086728192080', 'id': '1486592809543925823', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1774501745371, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1486592809543925822', 'name': 'General', 'last_message_id': None, 'id': '1486592809543925824', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'id': '1486592808885293077', 'max_stage_video_channel_users': 50, 'hub_type': None, 'name': 'Bot Developer Server', 'incidents_data': None, 'features': [], 'icon': None, 'region': 'deprecated', 'stickers': [], 'activity_instances': [], 'afk_channel_id': None, 'threads': [], 'presences': [], 'vanity_url_code': None, 'unavailable': False, 'soundboard_sounds': [], 'roles': [{'version': 1774501745348, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1486592808885293077', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1774512322583, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'gamer', 'mentionable': False, 'managed': False, 'id': '1486637105508520076', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1774527685568, 'unicode_emoji': None, 'tags': {'bot_id': '1486590681706270761'}, 'position': 1, 'permissions': '563276639759424', 'name': 'youtube_tutorial', 'mentionable': False, 'managed': True, 'id': '1486701610481483788', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'nsfw': False, 'description': None, 'member_count': 3, 'premium_features': None, 'explicit_content_filter': 0, 'moderator_reporting': None, 'preferred_locale': 'en-US', 'owner_id': '1394633632475381770', 'premium_tier': 0, 'emojis': [], 'afk_timeout': 300, 'inventory_settings': None, 'premium_subscription_count': 0, 'joined_at': '2026-03-26T12:21:25.615874+00:00', 'premium_progress_bar_enabled': False, 'application_command_counts': {}, 'large': False, 'safety_alerts_channel_id': None, 'members': [{'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1486590681706270761', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0816', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1486701610481483788'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-26T12:21:25.615874+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'lazy': True, 'latest_onboarding_question_id': None, 'rules_channel_id': None, 'discovery_splash': None, 'game_application_ids': None, 'owner_configured_content_level': 0, 'version': 1774510530086, 'application_id': None, 'banner': None, 'stage_instances': [], 'max_members': 25000000, 'system_channel_flags': 0, 'embedded_activities': [], 'guild_scheduled_events': [], 'nsfw_level': 0, 'mfa_level': 0}}
[2026-03-26 21:41:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-26 21:41:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '2a816f2665ac89525dec59689098a41f', 'members': [{'user': {'username': 'poraydchimkin', 'public_flags': 0, 'primary_guild': {'tag': 'snek', 'identity_guild_id': '267624335836053506', 'identity_enabled': True, 'badge': 'fd3549e1a1a692afda2a7b4cf6b6cad6'}, 'id': '1394633632475381770', 'global_name': 'Shikkin', 'display_name_styles': None, 'display_name': 'Shikkin', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1427463138646954036', 'palette': 'cobalt', 'label': 'COLLECTIBLES_ORB_MAGIC_MISTS_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/orb/magical_mist/'}}, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e9f53304243e0161d1a30156510fbef6'}, 'roles': ['1486637105508520076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-26T05:09:05.208000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1486590681706270761', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0816', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1486701610481483788'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-26T12:21:25.615874+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'devacc.1', 'public_flags': 0, 'primary_guild': None, 'id': '1486624816252452965', 'global_name': 'DevApp.1', 'display_name_styles': None, 'display_name': 'DevApp.1', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '1628fc11e7961d85181295493426b775'}, 'roles': ['1486637105508520076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-26T07:52:13.750000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1486592808885293077', 'chunk_index': 0, 'chunk_count': 1}}
[2026-03-26 21:41:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-26 21:41:20] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1486592808885293077.
[2026-03-26 21:41:21] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-03-26 21:41:21] [DEBUG   ] discord.client: Dispatching event ready
